date_hr,residual,season,weathersit_grouped,hr,weekday,temp_bin,hum_bin
2011-05-07_4,-0.15574312210083008,2,1,4,6,1,0.0
2011-05-07_5,-0.4099130630493164,2,1,5,6,1,0.0
2011-05-07_6,0.29210853576660156,2,1,6,6,1,0.0
2011-05-07_7,-3.560314178466797,2,1,7,6,1,0.0
2011-05-07_8,-9.532707214355469,2,1,8,6,1,0.0
2011-05-07_9,-5.7397613525390625,2,1,9,6,1,0.0
2011-05-07_10,4.373565673828125,2,1,10,6,1,0.0
2011-05-07_11,12.335174560546875,2,1,11,6,1,0.0
2011-05-07_12,-17.507476806640625,2,1,12,6,1,0.0
2011-05-07_13,2.416717529296875,2,1,13,6,1,0.0
2011-05-07_14,-3.722076416015625,2,3,14,6,1,0.0
2011-05-07_15,-8.814483642578125,2,1,15,6,1,0.0
2011-05-07_16,-24.176727294921875,2,1,16,6,1,0.0
2011-05-07_17,5.278076171875,2,1,17,6,1,0.0
2011-05-07_18,-2.277435302734375,2,1,18,6,1,0.0
2011-05-07_19,-5.409912109375,2,1,19,6,1,0.0
2011-05-07_20,2.597015380859375,2,1,20,6,1,0.0
2011-05-07_21,-2.4342193603515625,2,1,21,6,1,0.0
2011-05-07_22,-2.1168289184570312,2,1,22,6,1,0.0
2011-05-07_23,0.15775299072265625,2,1,23,6,1,0.0
2011-05-08_0,1.99017333984375,2,2,0,0,1,0.0
2011-05-08_1,0.7481460571289062,2,2,1,0,1,0.0
2011-05-08_2,0.7011375427246094,2,1,2,0,1,0.0
2011-05-08_3,-0.7107276916503906,2,1,3,0,1,0.0
2011-05-08_4,0.43656063079833984,2,1,4,0,1,0.0
2011-05-08_5,-0.29474496841430664,2,2,5,0,1,0.0
2011-05-08_6,0.04746055603027344,2,2,6,0,1,0.0
2011-05-08_7,-3.212240219116211,2,2,7,0,1,0.0
2011-05-08_8,-0.8949356079101562,2,1,8,0,1,0.0
2011-05-08_9,-7.8675994873046875,2,1,9,0,1,0.0
2011-05-08_10,0.3333282470703125,2,1,10,0,1,0.0
2011-05-08_11,13.8846435546875,2,1,11,0,1,0.0
2011-05-08_12,-2.8582763671875,2,1,12,0,1,0.0
2011-05-08_13,-2.010284423828125,2,1,13,0,1,0.0
2011-05-08_14,-14.761383056640625,2,1,14,0,1,0.0
2011-05-08_15,-20.569549560546875,2,1,15,0,1,0.0
2011-05-08_16,-16.8046875,2,1,16,0,1,0.0
2011-05-08_17,-36.2598876953125,2,3,17,0,1,0.0
2011-05-08_18,6.141326904296875,2,1,18,0,1,0.0
2011-05-08_19,-2.0338134765625,2,1,19,0,1,0.0
2011-05-08_20,-2.5200958251953125,2,1,20,0,1,0.0
2011-05-08_21,-0.6639328002929688,2,1,21,0,1,0.0
2011-05-08_22,1.5601959228515625,2,1,22,0,1,0.0
2011-05-08_23,-2.1022872924804688,2,1,23,0,1,0.0
2011-05-09_0,11.999382019042969,2,1,0,1,1,0.0
2011-05-09_1,6.78425407409668,2,1,1,1,1,0.0
2011-05-09_2,-2.526137351989746,2,1,2,1,1,0.0
2011-05-09_3,-0.07624530792236328,2,1,3,1,1,0.0
2011-05-09_4,-0.20160293579101562,2,1,4,1,1,0.0
2011-05-09_5,-0.19823455810546875,2,1,5,1,1,0.0
2011-05-09_6,-0.746307373046875,2,1,6,1,1,0.0
2011-05-09_7,-8.6453857421875,2,1,7,1,1,0.0
2011-05-09_8,-21.6116943359375,2,1,8,1,1,0.0
2011-05-09_9,5.7581329345703125,2,1,9,1,1,0.0
2011-05-09_10,0.2563323974609375,2,1,10,1,1,0.0
2011-05-09_11,-1.2635498046875,2,1,11,1,1,0.0
2011-05-09_12,-0.9411773681640625,2,1,12,1,1,0.0
2011-05-09_13,7.471160888671875,2,1,13,1,1,0.0
2011-05-09_14,-1.3291015625,2,1,14,1,1,0.0
2011-05-09_15,3.05865478515625,2,1,15,1,1,0.0
2011-05-09_16,13.666595458984375,2,1,16,1,1,0.0
2011-05-09_17,62.26806640625,2,1,17,1,1,0.0
2011-05-09_18,-2.9913330078125,2,1,18,1,1,0.0
2011-05-09_19,-9.377685546875,2,1,19,1,1,0.0
2011-05-09_20,2.5672454833984375,2,1,20,1,1,0.0
2011-05-09_21,4.567291259765625,2,1,21,1,1,0.0
2011-05-09_22,-0.2083740234375,2,1,22,1,1,0.0
2011-05-09_23,-1.794464111328125,2,1,23,1,1,0.0
2011-05-10_0,0.19180870056152344,2,1,0,2,1,0.0
2011-05-10_1,-0.10171222686767578,2,1,1,2,1,0.0
2011-05-10_2,-0.5912799835205078,2,1,2,2,1,0.0
2011-05-10_3,0.024837493896484375,2,1,3,2,1,0.0
2011-05-10_4,-0.25668931007385254,2,1,4,2,1,0.0
2011-05-10_5,0.38027191162109375,2,1,5,2,1,0.0
2011-05-10_6,-2.1197967529296875,2,1,6,2,1,0.0
2011-05-10_7,-0.11663818359375,2,2,7,2,1,0.0
2011-05-10_8,-10.65081787109375,2,2,8,2,1,0.0
2011-05-10_9,-0.6457672119140625,2,2,9,2,1,0.0
2011-05-10_10,-0.7335052490234375,2,2,10,2,1,0.0
2011-05-10_11,-0.02667236328125,2,2,11,2,1,0.0
2011-05-10_12,-0.3292083740234375,2,2,12,2,1,0.0
2011-05-10_13,6.75836181640625,2,2,13,2,1,0.0
2011-05-10_14,2.17413330078125,2,2,14,2,1,0.0
2011-05-10_15,7.2596282958984375,2,2,15,2,1,0.0
2011-05-10_16,-44.5062255859375,2,1,16,2,1,0.0
2011-05-10_17,73.554443359375,2,1,17,2,1,0.0
2011-05-10_18,15.98138427734375,2,1,18,2,1,0.0
2011-05-10_19,17.869384765625,2,1,19,2,1,0.0
2011-05-10_20,16.932464599609375,2,1,20,2,1,0.0
2011-05-10_21,-1.6960601806640625,2,1,21,2,1,0.0
2011-05-10_22,2.2748565673828125,2,1,22,2,1,0.0
2011-05-10_23,0.8213653564453125,2,2,23,2,1,0.0
2011-05-11_0,-0.9917488098144531,2,2,0,3,1,0.0
2011-05-11_1,0.41965484619140625,2,2,1,3,1,0.0
2011-05-11_2,-0.2046041488647461,2,1,2,3,1,0.0
2011-05-11_3,0.06148791313171387,2,1,3,3,1,0.0
2011-05-11_4,0.0024912357330322266,2,2,4,3,1,0.0
2011-05-11_5,-0.1359405517578125,2,1,5,3,1,0.0
2011-05-11_6,1.8458633422851562,2,1,6,3,1,0.0
2011-05-11_7,-0.13836669921875,2,1,7,3,1,0.0
2011-05-11_8,-8.40692138671875,2,1,8,3,1,0.0
2011-05-11_9,2.58489990234375,2,1,9,3,1,0.0
2011-05-11_10,6.0634307861328125,2,1,10,3,1,0.0
2011-05-11_11,1.4380035400390625,2,1,11,3,1,0.0
2011-05-11_12,-4.2355804443359375,2,1,12,3,1,0.0
2011-05-11_13,8.949432373046875,2,1,13,3,1,0.0
2011-05-11_14,6.0945892333984375,2,1,14,3,1,0.0
2011-05-11_15,2.2032470703125,2,1,15,3,1,0.0
2011-05-11_16,14.0377197265625,2,1,16,3,1,0.0
2011-05-11_17,-7.66552734375,2,1,17,3,1,0.0
2011-05-11_18,-11.394287109375,2,1,18,3,1,0.0
2011-05-11_19,-10.219024658203125,2,1,19,3,1,0.0
2011-05-11_20,4.30615234375,2,1,20,3,1,0.0
2011-05-11_21,1.1595916748046875,2,1,21,3,1,0.0
2011-05-11_22,1.0456390380859375,2,1,22,3,1,0.0
2011-05-11_23,-0.1681365966796875,2,1,23,3,1,0.0
2011-05-12_0,-0.7180976867675781,2,2,0,4,1,0.0
2011-05-12_1,0.21106338500976562,2,1,1,4,1,0.0
2011-05-12_2,-0.015918731689453125,2,1,2,4,1,0.0
2011-05-12_3,0.013593196868896484,2,1,3,4,1,0.0
2011-05-12_4,-0.12244939804077148,2,1,4,4,1,0.0
2011-05-12_5,0.1518077850341797,2,1,5,4,1,0.0
2011-05-12_6,-0.8530044555664062,2,1,6,4,1,0.0
2011-05-12_7,-12.06768798828125,2,1,7,4,1,0.0
2011-05-12_8,-4.898651123046875,2,1,8,4,1,0.0
2011-05-12_9,-2.8944854736328125,2,2,9,4,1,0.0
2011-05-12_10,1.8728179931640625,2,2,10,4,1,0.0
2011-05-12_11,4.622955322265625,2,1,11,4,1,0.0
2011-05-12_12,-6.5112152099609375,2,1,12,4,1,0.0
2011-05-12_13,-0.7464141845703125,2,2,13,4,1,0.0
2011-05-12_14,4.874786376953125,2,2,14,4,1,0.0
2011-05-12_15,-0.4158782958984375,2,2,15,4,1,0.0
2011-05-12_16,10.54437255859375,2,2,16,4,1,0.0
2011-05-12_17,70.3961181640625,2,2,17,4,1,0.0
2011-05-12_18,4.73797607421875,2,1,18,4,1,0.0
2011-05-12_19,1.482147216796875,2,2,19,4,1,0.0
2011-05-12_20,-20.0345458984375,2,1,20,4,1,0.0
2011-05-12_21,-1.13995361328125,2,1,21,4,1,0.0
2011-05-12_22,2.308990478515625,2,1,22,4,1,0.0
2011-05-12_23,-0.7129287719726562,2,2,23,4,1,0.0
2011-05-13_0,-0.7289962768554688,2,2,0,5,1,0.0
2011-05-13_1,-0.5080204010009766,2,1,1,5,1,0.0
2011-05-13_2,0.09696674346923828,2,2,2,5,1,0.0
2011-05-13_3,-0.10908079147338867,2,2,3,5,1,0.0
2011-05-13_4,0.37831687927246094,2,3,4,5,1,0.0
2011-05-13_5,-0.0001697540283203125,2,2,5,5,1,0.0
2011-05-13_6,0.9484405517578125,2,3,6,5,1,0.0
2011-05-13_7,-6.1773529052734375,2,3,7,5,1,0.0
2011-05-13_8,-7.725799560546875,2,2,8,5,1,0.0
2011-05-13_9,0.8230438232421875,2,2,9,5,1,0.0
2011-05-13_10,-1.8263397216796875,2,2,10,5,1,0.0
2011-05-13_11,2.4511566162109375,2,2,11,5,1,0.0
2011-05-13_12,-1.8887176513671875,2,2,12,5,1,0.0
2011-05-13_13,7.520843505859375,2,2,13,5,1,0.0
2011-05-13_14,-3.3886566162109375,2,2,14,5,1,0.0
2011-05-13_15,2.3486480712890625,2,2,15,5,1,0.0
2011-05-13_16,15.019317626953125,2,2,16,5,1,0.0
2011-05-13_17,-13.699371337890625,2,3,17,5,1,0.0
2011-05-13_18,-5.111785888671875,2,3,18,5,1,0.0
2011-05-13_19,-4.4031982421875,2,2,19,5,1,0.0
2011-05-13_20,-1.7679290771484375,2,2,20,5,1,0.0
2011-05-13_21,0.50323486328125,2,2,21,5,1,0.0
2011-05-13_22,1.7083740234375,2,2,22,5,1,0.0
2011-05-13_23,-0.24383544921875,2,3,23,5,1,0.0
2011-05-14_0,1.1188507080078125,2,2,0,6,1,0.0
2011-05-14_1,0.38178253173828125,2,2,1,6,1,0.0
2011-05-14_2,-1.2513427734375,2,2,2,6,1,0.0
2011-05-14_3,0.38543701171875,2,2,3,6,1,0.0
2011-05-14_4,-0.15312480926513672,2,2,4,6,1,0.0
2011-05-14_5,-0.44287586212158203,2,2,5,6,1,0.0
2011-05-14_6,-0.6187753677368164,2,2,6,6,1,0.0
2011-05-14_7,-1.1972007751464844,2,3,7,6,1,0.0
2011-05-14_8,-9.947113037109375,2,3,8,6,1,0.0
2011-05-14_9,-2.9652328491210938,2,2,9,6,1,0.0
2011-05-14_10,3.8521728515625,2,2,10,6,1,0.0
2011-05-14_11,2.0391845703125,2,2,11,6,1,0.0
2011-05-14_12,6.50555419921875,2,3,12,6,1,0.0
2011-05-14_13,1.0281982421875,2,3,13,6,1,0.0
2011-05-14_14,6.845306396484375,2,2,14,6,1,0.0
2011-05-14_15,-30.44879150390625,2,2,15,6,1,0.0
2011-05-14_16,2.67486572265625,2,2,16,6,1,0.0
2011-05-14_17,-1.24444580078125,2,2,17,6,1,0.0
2011-05-14_18,3.615875244140625,2,2,18,6,1,0.0
2011-05-14_19,-0.4438018798828125,2,3,19,6,1,0.0
2011-05-14_20,-1.80096435546875,2,3,20,6,1,0.0
2011-05-14_21,-1.7773246765136719,2,3,21,6,1,0.0
2011-05-14_22,-3.899883270263672,2,3,22,6,1,0.0
2011-05-14_23,-2.0385093688964844,2,3,23,6,1,0.0
2011-05-15_0,0.21504592895507812,2,2,0,0,1,0.0
2011-05-15_1,0.059795379638671875,2,2,1,0,1,0.0
2011-05-15_2,-0.6572723388671875,2,2,2,0,1,0.0
2011-05-15_3,0.3959693908691406,2,2,3,0,1,0.0
2011-05-15_4,0.410736083984375,2,2,4,0,1,0.0
2011-05-15_5,-0.36653614044189453,2,3,5,0,1,0.0
2011-05-15_6,-2.0781211853027344,2,2,6,0,1,0.0
2011-05-15_7,0.14061737060546875,2,2,7,0,1,0.0
2011-05-15_8,-2.7635421752929688,2,2,8,0,1,0.0
2011-05-15_9,-9.498611450195312,2,1,9,0,1,0.0
2011-05-15_10,5.9875335693359375,2,1,10,0,1,0.0
2011-05-15_11,0.1295166015625,2,1,11,0,1,0.0
2011-05-15_12,-26.11395263671875,2,1,12,0,1,0.0
2011-05-15_13,23.44281005859375,2,1,13,0,1,0.0
2011-05-15_14,10.82183837890625,2,1,14,0,1,0.0
2011-05-15_15,11.7860107421875,2,1,15,0,1,0.0
2011-05-15_16,12.353485107421875,2,1,16,0,1,0.0
2011-05-15_17,-1.032318115234375,2,3,17,0,1,0.0
2011-05-15_18,1.9244232177734375,2,1,18,0,1,0.0
2011-05-15_19,-2.7236328125,2,1,19,0,1,0.0
2011-05-15_20,1.0669403076171875,2,1,20,0,1,0.0
2011-05-15_21,0.91387939453125,2,1,21,0,1,0.0
2011-05-15_22,0.248565673828125,2,1,22,0,1,0.0
2011-05-15_23,-2.4969863891601562,2,1,23,0,1,0.0
2011-05-16_0,-0.6995048522949219,2,1,0,1,1,0.0
2011-05-16_1,-1.1671876907348633,2,1,1,1,1,0.0
2011-05-16_2,-1.0380859375,2,1,2,1,1,0.0
2011-05-16_3,-0.1439371109008789,2,1,3,1,1,0.0
2011-05-16_4,-0.025243282318115234,2,1,4,1,1,0.0
2011-05-16_5,-0.3269329071044922,2,1,5,1,1,0.0
2011-05-16_6,0.5211181640625,2,1,6,1,1,0.0
2011-05-16_7,2.475616455078125,2,1,7,1,1,0.0
2011-05-16_8,-0.736419677734375,2,1,8,1,1,0.0
2011-05-16_9,4.5804901123046875,2,1,9,1,1,0.0
2011-05-16_10,-1.7583770751953125,2,1,10,1,1,0.0
2011-05-16_11,1.42962646484375,2,1,11,1,1,0.0
2011-05-16_12,1.9672393798828125,2,1,12,1,1,0.0
2011-05-16_13,12.0238037109375,2,1,13,1,1,0.0
2011-05-16_14,0.25689697265625,2,1,14,1,1,0.0
2011-05-16_15,3.403045654296875,2,1,15,1,1,0.0
2011-05-16_16,-5.1569366455078125,2,3,16,1,1,0.0
2011-05-16_17,-12.49981689453125,2,1,17,1,1,0.0
2011-05-16_18,-5.407318115234375,2,3,18,1,1,0.0
2011-05-16_19,-7.4105224609375,2,1,19,1,1,0.0
2011-05-16_20,0.812835693359375,2,1,20,1,1,0.0
2011-05-16_21,1.8594207763671875,2,1,21,1,1,0.0
2011-05-16_22,-1.9770660400390625,2,1,22,1,1,0.0
2011-05-16_23,-0.20779037475585938,2,1,23,1,1,0.0
2011-05-17_0,0.6757049560546875,2,2,0,2,1,0.0
2011-05-17_1,-0.46034717559814453,2,3,1,2,1,0.0
2011-05-17_2,0.2766242027282715,2,3,2,2,1,0.0
2011-05-17_3,-0.21477031707763672,2,3,3,2,1,0.0
2011-05-17_4,-0.22695159912109375,2,3,4,2,1,0.0
2011-05-17_5,0.45160865783691406,2,3,5,2,1,0.0
2011-05-17_6,-1.0662345886230469,2,3,6,2,1,0.0
2011-05-17_7,-2.111328125,2,2,7,2,1,0.0
2011-05-17_8,-10.691619873046875,2,2,8,2,1,0.0
2011-05-17_9,-3.9408416748046875,2,2,9,2,1,0.0
2011-05-17_10,-2.33758544921875,2,3,10,2,1,0.0
2011-05-17_11,-0.9389190673828125,2,2,11,2,1,0.0
2011-05-17_12,-4.422576904296875,2,3,12,2,1,0.0
2011-05-17_13,2.9777069091796875,2,2,13,2,1,0.0
2011-05-17_14,-2.673919677734375,2,1,14,2,1,0.0
2011-05-17_15,-0.5668487548828125,2,1,15,2,1,0.0
2011-05-17_16,9.99261474609375,2,1,16,2,1,0.0
2011-05-17_17,64.3873291015625,2,1,17,2,1,0.0
2011-05-17_18,-32.18560791015625,2,1,18,2,1,0.0
2011-05-17_19,12.152587890625,2,1,19,2,1,0.0
2011-05-17_20,6.485626220703125,2,1,20,2,1,0.0
2011-05-17_21,2.9344940185546875,2,1,21,2,1,0.0
2011-05-17_22,-1.4483489990234375,2,2,22,2,1,0.0
2011-05-17_23,-1.274444580078125,2,2,23,2,1,0.0
2011-05-18_0,-1.2231273651123047,2,2,0,3,1,0.0
2011-05-18_1,-0.7028865814208984,2,2,1,3,1,0.0
2011-05-18_2,-0.3551030158996582,2,3,2,3,1,0.0
2011-05-18_3,-1.302739143371582,2,3,3,3,1,0.0
2011-05-18_4,-0.13839960098266602,2,3,4,3,1,0.0
2011-05-18_5,-1.0414485931396484,2,1,5,3,1,0.0
2011-05-18_6,0.257537841796875,2,1,6,3,1,0.0
2011-05-18_7,-9.459320068359375,2,1,7,3,1,0.0
2011-05-18_8,-15.420501708984375,2,1,8,3,1,0.0
2011-05-18_9,-0.4621124267578125,2,3,9,3,1,0.0
2011-05-18_10,-2.2406234741210938,2,3,10,3,1,0.0
2011-05-18_11,-2.004150390625,2,2,11,3,1,0.0
2011-05-18_12,-3.7549171447753906,2,1,12,3,1,0.0
2011-05-18_13,-3.103271484375,2,2,13,3,1,0.0
2011-05-18_14,-1.039215087890625,2,2,14,3,1,0.0
2011-05-18_15,2.3795318603515625,2,1,15,3,1,0.0
2011-05-18_16,-11.13525390625,2,1,16,3,1,0.0
2011-05-18_17,39.93511962890625,2,1,17,3,1,0.0
2011-05-18_18,-25.3765869140625,2,1,18,3,1,0.0
2011-05-18_19,-4.040802001953125,2,3,19,3,1,0.0
2011-05-18_20,0.7958221435546875,2,3,20,3,1,0.0
2011-05-18_21,-0.5830307006835938,2,1,21,3,1,0.0
2011-05-18_22,-1.756439208984375,2,1,22,3,1,0.0
2011-05-18_23,0.5883369445800781,2,1,23,3,1,0.0
2011-05-19_0,-1.6837902069091797,2,1,0,4,1,0.0
2011-05-19_1,-0.7064013481140137,2,1,1,4,1,0.0
2011-05-19_2,-0.1103982925415039,2,1,2,4,1,0.0
2011-05-19_3,-0.07058572769165039,2,1,3,4,1,0.0
2011-05-19_4,0.33849334716796875,2,1,4,4,1,0.0
2011-05-19_5,0.10186958312988281,2,1,5,4,1,0.0
2011-05-19_6,1.0829544067382812,2,2,6,4,1,0.0
2011-05-19_7,-1.146148681640625,2,2,7,4,1,0.0
2011-05-19_8,25.446624755859375,2,2,8,4,1,0.0
2011-05-19_9,-2.6549072265625,2,2,9,4,1,0.0
2011-05-19_10,0.6481475830078125,2,2,10,4,1,0.0
2011-05-19_11,0.2590484619140625,2,3,11,4,1,0.0
2011-05-19_12,-3.3194427490234375,2,2,12,4,1,0.0
2011-05-19_13,4.508514404296875,2,3,13,4,1,0.0
2011-05-19_14,4.2159423828125,2,3,14,4,1,0.0
2011-05-19_15,-6.4176025390625,2,1,15,4,1,0.0
2011-05-19_16,-20.139190673828125,2,1,16,4,1,0.0
2011-05-19_17,18.32110595703125,2,1,17,4,1,0.0
2011-05-19_18,-13.4952392578125,2,1,18,4,1,0.0
2011-05-19_19,0.177276611328125,2,1,19,4,1,0.0
2011-05-19_20,13.514892578125,2,1,20,4,1,0.0
2011-05-19_21,1.3315887451171875,2,1,21,4,1,0.0
2011-05-19_22,-1.5602874755859375,2,3,22,4,1,0.0
2011-05-19_23,0.5713043212890625,2,1,23,4,1,0.0
2011-05-20_0,-0.4480705261230469,2,1,0,5,1,0.0
2011-05-20_1,-1.540689468383789,2,1,1,5,1,0.0
2011-05-20_2,-0.3026857376098633,2,1,2,5,1,0.0
2011-05-20_3,-0.03260469436645508,2,1,3,5,1,0.0
2011-05-20_4,0.0011844635009765625,2,1,4,5,1,0.0
2011-05-20_5,0.5629787445068359,2,1,5,5,1,0.0
2011-05-20_6,2.0046157836914062,2,1,6,5,1,0.0
2011-05-20_7,4.443634033203125,2,1,7,5,1,0.0
2011-05-20_8,63.741119384765625,2,1,8,5,1,0.0
2011-05-20_9,-0.85321044921875,2,1,9,5,1,0.0
2011-05-20_10,-2.3311614990234375,2,1,10,5,1,0.0
2011-05-20_11,-0.453521728515625,2,2,11,5,1,0.0
2011-05-20_12,1.88031005859375,2,2,12,5,1,0.0
2011-05-20_13,1.8018035888671875,2,3,13,5,1,0.0
2011-05-20_14,-2.9869537353515625,2,1,14,5,1,0.0
2011-05-20_15,3.0845184326171875,2,2,15,5,1,0.0
2011-05-20_16,-37.572601318359375,2,2,16,5,1,0.0
2011-05-20_17,44.096099853515625,2,1,17,5,1,0.0
2011-05-20_18,10.302001953125,2,1,18,5,1,0.0
2011-05-20_19,11.60614013671875,2,1,19,5,1,0.0
2011-05-20_20,0.36474609375,2,1,20,5,1,0.0
2011-05-20_21,3.3205413818359375,2,1,21,5,1,0.0
2011-05-20_22,3.145263671875,2,1,22,5,1,0.0
2011-05-20_23,1.5780715942382812,2,1,23,5,1,0.0
2011-05-21_0,1.8567123413085938,2,1,0,6,1,0.0
2011-05-21_1,0.29669189453125,2,1,1,6,1,0.0
2011-05-21_2,0.19399642944335938,2,1,2,6,1,0.0
2011-05-21_3,-0.37274932861328125,2,1,3,6,1,0.0
2011-05-21_4,-0.10471582412719727,2,1,4,6,1,0.0
2011-05-21_5,-0.3834648132324219,2,1,5,6,1,0.0
2011-05-21_6,-0.6058750152587891,2,1,6,6,1,0.0
2011-05-21_7,-4.237068176269531,2,1,7,6,1,0.0
2011-05-21_8,-9.565338134765625,2,1,8,6,1,0.0
2011-05-21_9,1.8642730712890625,2,1,9,6,1,0.0
2011-05-21_10,2.737213134765625,2,1,10,6,1,0.0
2011-05-21_11,16.130157470703125,2,1,11,6,1,0.0
2011-05-21_12,36.2159423828125,2,1,12,6,1,0.0
2011-05-21_13,9.437530517578125,2,1,13,6,1,0.0
2011-05-21_14,5.1905517578125,2,1,14,6,1,0.0
2011-05-21_15,27.476318359375,2,1,15,6,1,0.0
2011-05-21_16,34.6651611328125,2,2,16,6,1,0.0
2011-05-21_17,3.878326416015625,2,2,17,6,1,0.0
2011-05-21_18,9.02105712890625,2,2,18,6,1,0.0
2011-05-21_19,-4.1942138671875,2,1,19,6,1,0.0
2011-05-21_20,0.1485595703125,2,1,20,6,1,0.0
2011-05-21_21,10.282974243164062,2,1,21,6,1,0.0
2011-05-21_22,-2.2925567626953125,2,1,22,6,1,0.0
2011-05-21_23,-0.8480224609375,2,1,23,6,1,0.0
2011-05-22_0,1.68994140625,2,1,0,0,1,0.0
2011-05-22_1,-1.7586517333984375,2,1,1,0,1,0.0
2011-05-22_2,-1.9215164184570312,2,1,2,0,1,0.0
2011-05-22_3,-0.5419692993164062,2,1,3,0,1,0.0
2011-05-22_4,-0.0431671142578125,2,1,4,0,1,0.0
2011-05-22_5,-0.5961995124816895,2,1,5,0,1,0.0
2011-05-22_6,-2.6589813232421875,2,1,6,0,1,0.0
2011-05-22_7,-4.5955657958984375,2,1,7,0,1,0.0
2011-05-22_8,1.8136749267578125,2,1,8,0,1,0.0
2011-05-22_9,-4.9695892333984375,2,1,9,0,1,0.0
2011-05-22_10,11.53753662109375,2,1,10,0,1,0.0
2011-05-22_11,9.430023193359375,2,1,11,0,1,0.0
2011-05-22_12,14.69903564453125,2,2,12,0,1,0.0
2011-05-22_13,30.718719482421875,2,2,13,0,1,0.0
2011-05-22_14,1.38995361328125,2,3,14,0,1,0.0
2011-05-22_15,-24.8026123046875,2,2,15,0,1,0.0
2011-05-22_16,-3.025360107421875,2,1,16,0,1,0.0
2011-05-22_17,3.9451904296875,2,1,17,0,1,0.0
2011-05-22_18,-19.71685791015625,2,1,18,0,1,0.0
2011-05-22_19,-3.99365234375,2,1,19,0,1,0.0
2011-05-22_20,3.2802886962890625,2,1,20,0,1,0.0
2011-05-22_21,-3.2503662109375,2,1,21,0,1,0.0
2011-05-22_22,-0.47165679931640625,2,1,22,0,1,0.0
2011-05-22_23,-0.74090576171875,2,2,23,0,1,0.0
2011-05-23_0,5.297210693359375,2,2,0,1,1,0.0
2011-05-23_1,-0.9810047149658203,2,1,1,1,1,0.0
2011-05-23_2,-0.8243365287780762,2,3,2,1,1,0.0
2011-05-23_3,-0.2417464256286621,2,3,3,1,1,0.0
2011-05-23_4,-0.06378459930419922,2,2,4,1,1,0.0
2011-05-23_5,-0.5667276382446289,2,2,5,1,1,0.0
2011-05-23_6,0.02634429931640625,2,2,6,1,1,0.0
2011-05-23_7,-4.3635711669921875,2,2,7,1,1,0.0
2011-05-23_8,7.32537841796875,2,1,8,1,1,0.0
2011-05-23_9,4.3621368408203125,2,1,9,1,1,0.0
2011-05-23_10,-2.4713592529296875,2,1,10,1,1,0.0
2011-05-23_11,1.1710205078125,2,1,11,1,1,0.0
2011-05-23_12,-8.756866455078125,2,1,12,1,1,0.0
2011-05-23_13,3.0497589111328125,2,2,13,1,1,0.0
2011-05-23_14,-2.0875091552734375,2,2,14,1,1,0.0
2011-05-23_15,-0.7889404296875,2,2,15,1,1,0.0
2011-05-23_16,-26.780120849609375,2,2,16,1,1,0.0
2011-05-23_17,-11.59405517578125,2,3,17,1,1,0.0
2011-05-23_18,-24.1627197265625,2,1,18,1,1,0.0
2011-05-23_19,-20.5447998046875,2,1,19,1,1,0.0
