instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,hr_sin,hr_cos,mnth_sin,mnth_cos,weekday_sin,weekday_cos,is_weekend,temp_bucket,cnt_lag1,cnt_roll_6h
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,100.0,69.16666666666667
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,42.0,75.83333333333333
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,57.0,84.66666666666667
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,78.0,91.66666666666667
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,97.0,92.16666666666667
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,63.0,72.83333333333333
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,65.0,67.0
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,83.0,73.83333333333333
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,212.0,99.66666666666667
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,182.0,117.0
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,112.0,119.5
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,54.0,118.0
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,48.0,115.16666666666667
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,35.0,107.16666666666667
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6,0.0,1.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,11.0,73.66666666666667
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,6.0,44.333333333333336
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,6.0,26.666666666666668
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,2.0,18.0
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,2.0,10.333333333333334
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,3.0,5.0
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,33.0,8.666666666666666
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,88.0,22.333333333333332
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,195.0,53.833333333333336
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,115.0,72.66666666666667
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,57.0,81.83333333333333
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,46.0,89.0
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,79.0,96.66666666666667
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,71.0,93.83333333333333
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,62.0,71.66666666666667
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,62.0,62.833333333333336
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,89.0,68.16666666666667
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,190.0,92.16666666666667
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,169.0,107.16666666666667
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,132.0,117.33333333333333
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,89.0,121.83333333333333
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,43.0,118.66666666666667
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,42.0,110.83333333333333
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,19.0,82.33333333333333
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,11.0,56.0
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,4.0,34.666666666666664
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,2.0,20.166666666666668
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,1.0,13.166666666666666
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,4.0,6.833333333333333
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,36.0,9.666666666666666
